label,kp_0,kp_1,kp_2,kp_3,kp_4,kp_5,kp_6,kp_7,kp_8,kp_9,kp_10,kp_11,kp_12,kp_13,kp_14,kp_15,kp_16,kp_17,kp_18,kp_19,kp_20,kp_21,kp_22,kp_23,kp_24,kp_25,kp_26,kp_27,kp_28,kp_29,kp_30,kp_31,kp_32,kp_33,kp_34,kp_35,kp_36,kp_37,kp_38,kp_39,kp_40,kp_41,kp_42,kp_43,kp_44,kp_45,kp_46,kp_47,kp_48,kp_49,kp_50,kp_51,kp_52,kp_53,kp_54,kp_55,kp_56,kp_57,kp_58,kp_59,kp_60,kp_61,kp_62
hola,0.758093,0.749087,-0.0,0.702805,0.728066,0.000356,0.663024,0.665786,0.006422,0.643318,0.619733,0.007936,0.631398,0.582097,0.010065,0.67611,0.571238,0.032617,0.653306,0.512496,0.028969,0.634383,0.472335,0.019287,0.617806,0.437231,0.010047,0.690512,0.557752,0.022424,0.66405,0.493893,0.018846,0.640295,0.449806,0.009128,0.619146,0.410215,0.000718,0.706922,0.553467,0.008079,0.680086,0.489102,0.001694,0.656585,0.449127,-0.00574,0.634395,0.413509,-0.011536,0.726277,0.557558,-0.008111,0.700303,0.500815,-0.01528,0.67726,0.468546,-0.018926,0.655177,0.439053,-0.021868
hola,0.764704,0.700014,-0.0,0.711161,0.685839,-0.003819,0.668193,0.631725,0.00042,0.643634,0.589576,0.000782,0.627441,0.555772,0.002133,0.669815,0.545618,0.027772,0.643596,0.491696,0.021887,0.62143,0.453957,0.010907,0.601575,0.422794,0.0011,0.681851,0.530264,0.019702,0.650684,0.474621,0.0147,0.624191,0.435918,0.004303,0.599351,0.402429,-0.004671,0.697075,0.519214,0.007297,0.66399,0.464749,-0.00017,0.637845,0.431622,-0.00732,0.612769,0.403474,-0.01286,0.716824,0.512822,-0.007372,0.684097,0.464676,-0.015504,0.657839,0.438715,-0.018872,0.633468,0.417184,-0.021492
hola,0.928586,0.781747,-0.0,0.840884,0.751365,0.000903,0.773615,0.679767,-0.000265,0.732517,0.629004,-0.009129,0.700247,0.58112,-0.018957,0.79202,0.557736,0.025062,0.742983,0.48384,0.001968,0.696467,0.446894,-0.022437,0.655371,0.426443,-0.039496,0.817227,0.540769,0.005651,0.756791,0.458903,-0.015649,0.703547,0.424764,-0.038435,0.655268,0.407906,-0.054157,0.84654,0.539191,-0.01866,0.783416,0.459914,-0.043047,0.728113,0.430202,-0.058876,0.679345,0.414113,-0.067497,0.878915,0.554211,-0.044202,0.814744,0.49049,-0.066907,0.767867,0.460632,-0.076299,0.727176,0.441607,-0.080991
hola,0.835371,0.601969,-0.0,0.77432,0.602265,0.004225,0.70463,0.543764,0.01556,0.667642,0.49989,0.019955,0.647575,0.461664,0.02425,0.700725,0.430454,0.042988,0.656576,0.393222,0.039972,0.617228,0.36242,0.029444,0.584639,0.335974,0.017744,0.715108,0.407403,0.027619,0.660043,0.363472,0.021192,0.617964,0.332781,0.008288,0.578514,0.308157,-0.002329,0.735503,0.394017,0.00774,0.673999,0.353461,-0.008642,0.630715,0.330914,-0.018704,0.589504,0.313377,-0.024034,0.757868,0.390752,-0.013592,0.69168,0.356707,-0.033318,0.648624,0.33753,-0.041546,0.611628,0.32039,-0.04561
hola,0.814312,0.56611,-0.0,0.751529,0.576003,0.001092,0.680004,0.536052,0.008056,0.640167,0.501194,0.008847,0.620398,0.464951,0.00906,0.666069,0.431018,0.032767,0.622763,0.399448,0.027713,0.586631,0.375766,0.015978,0.556031,0.352716,0.003258,0.678069,0.407032,0.018496,0.624423,0.371958,0.010008,0.586035,0.350665,-0.004965,0.549988,0.330458,-0.017718,0.696518,0.38978,0.000336,0.636909,0.358449,-0.0161,0.597072,0.343749,-0.027881,0.55823,0.33097,-0.035619,0.718018,0.38186,-0.0192,0.652449,0.357131,-0.037719,0.611887,0.344933,-0.045897,0.576273,0.332089,-0.051107
hola,0.80263,0.577702,-0.0,0.7398,0.584446,0.005488,0.670541,0.541273,0.015562,0.632399,0.506873,0.018411,0.610854,0.472985,0.02064,0.65774,0.434899,0.042346,0.614557,0.402682,0.041818,0.576698,0.379202,0.033076,0.545282,0.355301,0.02216,0.668606,0.413114,0.026353,0.615288,0.377547,0.022546,0.574863,0.357086,0.009761,0.53832,0.338075,-0.00152,0.686647,0.399122,0.006466,0.626302,0.366422,-0.00724,0.585066,0.351176,-0.018199,0.547005,0.338832,-0.025254,0.707415,0.394966,-0.014551,0.641596,0.36886,-0.031287,0.599284,0.356676,-0.038532,0.564222,0.34493,-0.042948
hola,0.814475,0.606185,-0.0,0.749377,0.61095,0.000362,0.680529,0.572852,0.005311,0.642165,0.542054,0.004296,0.621233,0.504923,0.003135,0.662841,0.464499,0.030381,0.619534,0.422347,0.024434,0.583395,0.394211,0.012871,0.551566,0.368681,0.000683,0.675106,0.441324,0.016102,0.62258,0.394556,0.007984,0.582402,0.369731,-0.006259,0.545385,0.34923,-0.018692,0.69469,0.426422,-0.002143,0.637009,0.384605,-0.016708,0.595633,0.367547,-0.028242,0.557454,0.354619,-0.036421,0.718981,0.421147,-0.021897,0.656624,0.389168,-0.038429,0.615081,0.375892,-0.046552,0.580043,0.36413,-0.052091
hola,0.81134,0.600363,-0.0,0.752049,0.614079,-0.000365,0.679161,0.571979,0.007394,0.641301,0.538538,0.009815,0.619174,0.507398,0.012102,0.659822,0.460745,0.029504,0.618933,0.423733,0.026076,0.582577,0.395661,0.016601,0.551049,0.372137,0.00517,0.67335,0.435423,0.016534,0.62154,0.392626,0.008555,0.582814,0.369498,-0.004597,0.545351,0.351521,-0.016084,0.693998,0.419904,-0.000304,0.638604,0.383704,-0.015821,0.598588,0.368036,-0.027199,0.558682,0.355937,-0.03497,0.717676,0.415242,-0.018597,0.655309,0.387526,-0.036589,0.615222,0.374783,-0.046032,0.580186,0.362592,-0.05245
hola,0.813332,0.60516,-0.0,0.748475,0.610372,0.001262,0.679198,0.571603,0.006914,0.640492,0.539286,0.006512,0.619099,0.503894,0.005827,0.660424,0.463873,0.031059,0.617095,0.419273,0.025441,0.581012,0.392846,0.01426,0.548908,0.370302,0.002601,0.673028,0.44052,0.016854,0.620618,0.392596,0.008004,0.581154,0.370724,-0.006823,0.544667,0.354059,-0.019084,0.692786,0.426253,-0.001115,0.635502,0.382772,-0.016091,0.593977,0.366811,-0.028404,0.555575,0.35591,-0.036673,0.717335,0.422098,-0.020295,0.655798,0.386163,-0.036369,0.614262,0.373615,-0.044331,0.579772,0.363858,-0.049608
hola,0.809939,0.604728,-0.0,0.747489,0.611564,0.000896,0.676743,0.570538,0.007451,0.638806,0.537792,0.007964,0.617616,0.504674,0.008231,0.658021,0.461299,0.031919,0.615791,0.421638,0.027588,0.579683,0.393833,0.01702,0.548523,0.369338,0.005251,0.671103,0.438045,0.017796,0.61899,0.393614,0.010028,0.580017,0.370065,-0.004016,0.543796,0.351213,-0.016106,0.691402,0.422913,-0.000191,0.634311,0.383298,-0.014946,0.593518,0.366615,-0.026698,0.55498,0.354209,-0.034736,0.715255,0.417856,-0.019584,0.651713,0.38641,-0.036315,0.610279,0.372865,-0.044702,0.575577,0.36088,-0.050329
